"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"it_savoy_officer_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_savoy_cavalier_order/name";"Military Order of Savoy (Cavalier)";"Ordre militaire de Savoie (Chevalier)";"Ordine Militare di Savoia (Cavaliere)";"Militärorden von Savoyen (Ritter)";"Orden Militar de Saboya (Caballero)";"Савойский военный орден (кавалер)";"Order Sabaudzki Wojskowy (Kawaler)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"骑\t士\t级\t萨\t伏\t依\t军\t功\t勋\t章";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Савойський військовий орден (кавалер)";"Military Order of Savoy (Cavalier)";"Savoyai Katonai Érdemrend lovagi fokozat";"Military Order of Savoy (Cavalier)";"Military Order of Savoy (Cavalier)";"Ordinul Militar al Savoy (Cavaler)";"騎士級薩伏依軍功勳章";"  ";;
"it_savoy_cavalier_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_navy_valor_medal_silver/name";"Medal of Valor of the Navy (Silver)";"Médaille ""Pour bravoure en mer"" (argent)";"Medaglia al Valore di Marina (Argento)";"Tapferkeitsmedaille der Marine (Silber)";"Medalla al Valor de la Armada (Plata)";"Медаль За доблесть на море (серебряная)";"Medal za Odwagę Marynarki (srebrny)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"银\t质\t海\t军\t英\t勇\t奖\t章";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Медаль За доблесть на морі (срібна)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medal of Valor of the Navy (Silver)";"Medalia Valorii Marinei (Argint)";"銀質​​海軍英勇獎章";"  ";;
"it_navy_valor_medal_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_navy_valor_medal_gold/name";"Medal of Valor of the Navy (Gold)";"Médaille ""Pour bravoure en mer"" (or)";"Medaglia al Valore di Marina (Oro)";"Tapferkeitsmedaille der Marine (Gold)";"Medalla al Valor de la Armada (Oro)";"Медаль За доблесть на море (золотая)";"Medal za Odwagę Marynarki (złoty)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"金\t质\t海\t军\t英\t勇\t奖\t章";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Медаль За доблесть на морі (золота)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medal of Valor of the Navy (Gold)";"Medalia Valorii Marinei (Aur)";"金質海軍英勇獎章";"  ";;
"it_navy_valor_medal_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_navy_valor_medal_bronze/name";"Medal of Valor of the Navy (Bronze)";"Médaille ""Pour bravoure en mer"" (bronze)";"Medaglia al Valore di Marina (Bronzo)";"Tapferkeitsmedaille der Marine (Bronze)";"Medalla al Valor de la Armada (Bronce)";"Медаль За доблесть на море (бронзовая)";"Medal za Odwagę Marynarki (brązowy)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"铜\t质\t海\t军\t英\t勇\t奖\t章";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Медаль За доблесть на морі (бронзова)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medal of Valor of the Navy (Bronze)";"Medalia Valorii Marinei (Bronz)";"銅質海軍英勇獎章";"  ";;
"it_navy_valor_medal_bronze/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_military_valor_medal_silver/name";"Medal of Military Valor (Silver)";"Médaille de la Valeur Militaire (Argent)";"Medaglia al Valore Militare (Argento)";"Tapferkeitsmedaille (Silber)";"Medalla al Valor Militar (Plata)";"Медаль За воинскую доблесть (серебряная)";"Wojskowy Medal za Odwagę (Srebrny)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"银\t质\t英\t勇\t作\t战\t奖\t章";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Медаль За військову доблесть (срібна)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medal of Military Valor (Silver)";"Medalia Valorii Militare (Argint)";"銀質​​英勇作戰獎章";"  ";;
"it_military_valor_medal_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_military_valor_medal_gold/name";"Medal of Military Valor (Gold)";"Médaille de la Valeur Militaire (Or)";"Medaglia al Valore Militare (Oro)";"Tapferkeitsmedaille (Gold)";"Medalla al Valor Militar (Oro)";"Медаль За воинскую доблесть (золотая)";"Wojskowy Medal za Odwagę (Złoty)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"金\t质\t英\t勇\t作\t战\t奖\t章";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Медаль За військову доблесть (золота)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medal of Military Valor (Gold)";"Medalia Valorii Militare (Aur)";"金質英勇作戰獎章";"  ";;
"it_military_valor_medal_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_warrior/name";"Medal of Military Valor (Bronze)";"Médaille ""Pour Valeur au Combat""";"Medaglia al Valore Militare (Bronzo)";"Tapferkeitsmedaille (Bronze)";"Medalla ""al valor en combate""";"Медаль За воинскую доблесть (бронзовая)";"Wojskowy Medal za Odwagę (Brązowy)";"Medaile za vojenské zásluhy (Medaglia Al Valore Militare)";"Muharebe Cesaret Madalyası";"铜\t质\t英\t勇\t作\t战\t奖\t章";"武勇章";"Medalha ''Per il servizio al fronte'' (Pelo serviço na frente)";"Medal of Military Valor (Bronze)";"Медаль ""За військову доблесть"" ";"Medalja ""Za Borbenu Vrednost""";"Medal of Military Valor (Bronze)";"군사용맹장 금장(Medaglia d'oro al valor militare)";"Медаль «За воінскую доблесць»";"Medalia Valorii Militare (Bronz)";"銅質英勇作戰獎章";"  ";;
"it_warrior/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_merit/name";"Cross of Merit of War";"Médaille ""Pour Service au Combat""";"Croce ""Al Merito di Guerra""";"Kriegsverdienstkreuz";"Medalla ""al mérito de guerra""";"Крест За боевые заслуги";"Cross of Merit of War";"Kříž za vojenské zásluhy (Croce al Merito di Guerra)";"Muharebe Hizmet Madalyası";"战\t功\t十\t字\t章";"勲功章
";"Medalha ""Al valore nel combattimento"" (Pelo valor em combate)";"Cross of Merit of War";"Медаль ""За бойові заслуги"" ";"Medalja ""Za Službu u Borbi""";"Háborús Érdemkereszt";"전투공훈십자장(Croce al Merito di Guerra)";"Медаль «За баявыя заслугі»";"Crucea de merit în război";"戰功十字章";"  ";;
"it_merit/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_interceptor_badge/name";"Badge Interceptor (gold)";"Insigne intercepteur (or)";"Distintivo dell'Intercettore (oro)";"Jagdabzeichen (Gold)";"Insignia Interceptor (oro)";"Нагрудный знак Перехватчик (золотой)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"金\t质\t截\t击\t机\t胸\t章";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Нагрудний знак Перехоплювач (золотий)";"Badge Interceptor (gold)";"Elfogóvadász jelvény aranyban";"Badge Interceptor (gold)";"Badge Interceptor (gold)";"Insignă interceptor (aurie)";"金質截擊機胸章";"  ";;
"it_interceptor_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_ger_merit_medal_silver/name";"Silver Medal of Merit";"Médaille d'argent du Mérite";"Medaglia d'Argento al Merito";"Verdienstorden in Silber";"Medalla de Plata al Mérito";"Серебряная медаль За заслуги";"Srebrny Medal Zasługi";"Silver Medal of Merit";"Silver Medal of Merit";"银\t质\t功\t勋\t勋\t章";"Silver Medal of Merit";"Silver Medal of Merit";"Silver Medal of Merit";"Срібна медаль За заслуги";"Silver Medal of Merit";"Silver Medal of Merit";"은공훈장";"Silver Medal of Merit";"Medalia de merit de argintie";"銀質​​功勳勳章";"  ";;
"it_ger_merit_medal_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_ger_merit_medal_bronze/name";"Bronze Medal of Merit";"Médaille de bronze du Mérite";"Medaglia di Bronzo al Merito";"Verdienstorden in Bronze";"Medalla de Bronce al Mérito";"Бронзовая медаль За заслуги";"Brązowy Medal Zasługi";"Bronze Medal of Merit";"Bronze Medal of Merit";"铜\t质\t功\t勋\t奖\t章";"Bronze Medal of Merit";"Bronze Medal of Merit";"Bronze Medal of Merit";"Бронзова медаль За заслуги";"Bronze Medal of Merit";"Bronze Medal of Merit";"동공훈장";"Bronze Medal of Merit";"Medalia de merit de bronz";"銅質功勳獎章";"  ";;
"it_ger_merit_medal_bronze/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_ger_eagle_order_5_class/name";"Order of the German Eagle 5th Class";"Ordre de l'Aigle allemand 5e Classe";"Ordine delle Aquile Tedesche V Classe";"Verdienstorden vom Deutschen Adler 5. Klasse";"Orden del Águila Alemana 5ª Clase";"Орден Заслуг германского орла 5-го класса:";"Order Zasługi Orła Niemieckiego V klasy";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"五\t级\t德\t意\t志\t雄\t鹰\t勋\t章";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Орден Заслуг німецького орла 5-го класу:";"Order of the German Eagle 5th Class";"Német Sasrend V. osztály";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Ordinul Vulturului German clasa 5";"五級德意志雄鷹勳章";"  ";;
"it_ger_eagle_order_5_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_ger_eagle_order_4_class/name";"Order of the German Eagle 4th Class";"Ordre de l'Aigle allemand 4e Classe";"Ordine delle Aquile Tedesche IV Classe";"Verdienstorden vom Deutschen Adler 4. Klasse";"Orden del Águila Alemana 4ª Clase";"Орден Заслуг германского орла 4-го класса:";"Order Zasługi Orła Niemieckiego IV klasy";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"四\t级\t德\t意\t志\t雄\t鹰\t勋\t章";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Орден Заслуг німецького орла 4-го класу:";"Order of the German Eagle 4th Class";"Német Sasrend IV. osztály";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Ordinul Vulturului German clasa 4";"四級德意志雄鷹勳章";"  ";;
"it_ger_eagle_order_4_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_ger_eagle_order_3_class/name";"Order of the German Eagle 3rd Class";"Ordre de l'Aigle allemand 3e Classe";"Ordine delle Aquile Tedesche III Classe";"Verdienstorden vom Deutschen Adler 3. Klasse";"Orden del Águila Alemana 3ª Clase";"Орден Заслуг германского орла 3-го класса:";"Order Zasługi Orła Niemieckiego III klasy";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"三\t级\t德\t意\t志\t雄\t鹰\t勋\t章";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Орден Заслуг німецького орла 3-го класу:";"Order of the German Eagle 3rd Class";"Német Sasrend III. osztály";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Ordinul Vulturului German clasa 3";"三級德意志雄鷹勳章";"  ";;
"it_ger_eagle_order_3_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_dive_bomber_badge/name";"Badge dive bomber (gold)";"Insigne bombardier en piqué (or)";"Distintivo bombardiere da picchiata (oro)";"Sturzkampfbomberabzeichen (Gold)";"Insignia de Bombardero en Picado (oro)";"Нагрудный знак Пикировщик (золотой)";"Odznaka bombowca nurkującego (złota)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"金\t质\t俯\t冲\t轰\t炸\t机\t胸\t章";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Нагрудний знак пікірувальників (золотий)";"Badge dive bomber (gold)";"Zuhanóbombázó jelvény aranyban";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Insigna bombardierului în picaj (aurie)";"金質俯衝轟炸機胸章";"  ";;
"it_dive_bomber_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_crown_officer_order/name";"Order of the Crown of Italy (Officer)";"Ordre de la Couronne d'Italie (Officier)";"Ordine della Corona d'Italia (Ufficiale)";"Orden der Krone von Italien (Offizier)";"Orden de la Corona de Italia (Oficial)";"Орден Короны Италии (офицер)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"军\t官\t级\t意\t大\t利\t王\t冠\t勋\t章";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Орден Корони Італії (офіцер)";"Order of the Crown of Italy (Officer)";"Olasz Koronarend Tisztkeresztje";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Ordinul Coroanei Italiei (Ofițer)";"軍官級意大利王冠勳章";"  ";;
"it_crown_officer_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_crown_cavalier_order/name";"Order of the Crown of Italy (Cavalier)";"Ordre de la Couronne d'Italie (Chevalier)";"Ordine della Corona d'Italia (Cavaliere)";"Orden der Krone von Italien (Ritter)";"Orden de la Corona de Italia (Caballero)";"Орден Короны Италии (кавалер)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"骑\t士\t级\t意\t大\t利\t王\t冠\t勋\t章";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Орден Корони Італії (кавалер)";"Order of the Crown of Italy (Cavalier)";"Olasz Koronarend Lovagkeresztje";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Ordinul Coroanei Italiei (Cavaler)";"騎士級意大利王冠勳章";"  ";;
"it_crown_cavalier_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_bomber_badge/name";"Badge bomber (gold)";"Insigne bombardier (or)";"Distintivo bombardiere (oro)";"Bomberabzeichen (Gold)";"Insignia de Bombardero (oro)";"Нагрудный знак Бомбардировщик (золотой)";"Badge bomber (gold)";"Badge bomber (gold)";"Badge bomber (gold)";"金\t质\t轰\t炸\t机\t胸\t章";"Badge bomber (gold)";"Badge bomber (gold)";"Badge bomber (gold)";"Нагрудний знак Бомбардувальник (золотий)";"Badge bomber (gold)";"Bombázó jelvény aranyban";"Badge bomber (gold)";"Badge bomber (gold)";"Insignă bombardier (aurie)";"金質轟炸機胸章";"  ";;
"it_bomber_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_attacker_badge/name";"Badge of Attack (the Golden)";"Insigne de l'Attaque (doré)";"Distintivo Assaltatore (oro)";"Schlachtflugzeugabzeichen (Gold)";"Insignia de Ataque (dorado)";"Нагрудный знак Штурмовик (золотой)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"金\t质\t攻\t击\t机\t胸\t章";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Нагрудний знак Штурмовик (золотий)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Insignă atacator (aurie)";"金質攻擊機胸章";"  ";;
"it_attacker_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_air_valor_medal_silver/name";"Medal of Valor of the Air Forces (Silver)";"Médaille ""Pour bravoure dans le ciel"" (argent)";"Medaglia al Valore Aeronautico (Argento)";"Tapferkeitsmedaille der Luftstreitkräfte (Silber)";"Medalla al Valor de las Fuerzas Aéreas (Plata)";"Медаль За доблесть в небе (серебряная)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"银\t质\t空\t军\t英\t勇\t奖\t章";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Медаль За доблесть в небі (срібна)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"공군 용맹 훈장 (은장)";"Medal of Valor of the Air Forces (Silver)";"Medalia Valorii Forțelor Aeriene (Argint)";"銀質​​空軍英勇獎章";"  ";;
"it_air_valor_medal_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_air_valor_medal_gold/name";"Medal of Valor of the Air Forces (Gold)";"Médaille ""Pour bravoure dans le ciel"" (or)";"Medaglia al Valore Aeronautico (Oro)";"Tapferkeitsmedaille der Luftstreitkräfte (Gold)";"Medalla al Valor de las Fuerzas Aéreas (Oro)";"Медаль За доблесть в небе (золотая)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"金\t质\t空\t军\t英\t勇\t奖\t章";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Медаль За доблесть в небі (золота)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"공군 용맹 훈장 (금장)";"Medal of Valor of the Air Forces (Gold)";"Medalia Valorii Forțelor Aeriene (Aur)";"金質空軍英勇獎章";"  ";;
"it_air_valor_medal_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_sky/name";"Medal of Valor of the Air Forces (Bronze)";"Médaille ""Pour bravoure dans le ciel""";"Medaglia al Valore Aeronautico (Bronzo)";"Tapferkeitsmedaille der Luftstreitkräfte (Bronze)";"Medalla ""al valor en el cielo""";"Медаль За доблесть в небе (бронзовая)";"Medal of Valor of the Air Forces (Bronze)";"Medaile za dlouhou leteckou službu (Medaglia di lunga navigazione aerea)";"""Gökyüzünde Cesaret"" Madalyası";"铜\t质\t空\t军\t英\t勇\t奖\t章";"航空武勇章
";"Medalha ""Di Lunga Navigazione Aerea""";"Medal of Valor of the Air Forces (Bronze)";"Медаль ""За звитягу в небі""";"Medalja ""Za Hrabrost u Nebu""";"Medal of Valor of the Air Forces (Bronze)";"장기공중근무장(Medaglia militare aeronautica di lunga navigazione aerea)";"Медаль «За доблесць у небе»";"Medalia  Valorii Forțelor Aeriene (Bronz)";"銅質空軍英勇獎章";"  ";;
"it_sky/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_africa_medal/name";"Africa Campaign Medal";"Médaille de la campagne d'Afrique";"Medaglia della Campagna d'Africa";"Afrikafeldzug-Medaille";"Medalla de la Campaña de África";"Медаль За африканскую кампанию";"Medal za Kampanię Afrykańską";"Africa Campaign Medal";"Africa Campaign Medal";"意\t大\t利\t-\t德\t国\t非\t洲\t战\t役\t纪\t念\t十\t字\t章";"Africa Campaign Medal";"Africa Campaign Medal";"Africa Campaign Medal";"Медаль За африканську кампанію";"Africa Campaign Medal";"Africa Campaign Medal";"아프리카 전역 훈장";"Africa Campaign Medal";"Medalia campaniei africane";"意大利-德國非洲戰役紀念十字章";"  ";;
"it_africa_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_wound_badge_silver/name";"Wound Badge Silver";"Insigne d'argent des blessés";"Distintivo d'Argento per feriti";"Verwundetenabzeichen in Silber";"Insignia de Herido en Plata";"Нагрудный знак За ранение 2 степени";"Srebrna odznaka za rany odniesione w boju";"Wound Badge Silver";"Wound Badge Silver";"银\t质\t战\t伤\t胸\t章";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Нагрудний знак За поранення 2 ступеня";"Wound Badge Silver";"Sebesülési jelvény ezüst fokozat";"전상장 은장";"Wound Badge Silver";"Insigna de argint a răniților";"銀質​​戰傷胸章";"  ";;
"ger_wound_badge_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_wound_badge_gold/name";"Wound Badge Gold";"Insigne d'or des blessés";"Distintivo d'Oro per feriti";"Verwundetenabzeichen in Gold";"Insignia de Herido en Oro";"Нагрудный знак За ранение 1 степени";"Złota odznaka za rany odniesione w boju";"Wound Badge Gold";"Wound Badge Gold";"金\t质\t战\t伤\t胸\t章";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Нагрудний знак За поранення 1 ступеня";"Wound Badge Gold";"Sebesülési jelvény arany fokozat";"전상장 금장";"Wound Badge Gold";"Insigna de aur a răniților";"金質​​戰傷胸章";"  ";;
"ger_wound_badge_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"ge_wound_badge/name";"Wound Badge Black";"Insigne des blessés";"Distintivo per feriti";"Verwundetenabzeichen in Schwarz";"Insignia de herido";"Нагрудный знак За ранение 3-й степени";"Odznaka za rany odniesione w boju";"Odznak za zranění";"Gazi Rozeti";"黑\t色\t战\t伤\t胸\t章";"戦傷章";"Verwundetenabzeichen (medalha de ferido)";"Wound Badge Black";"За поранення ";"Značka Ozlede";"Sebesülési jelvény fekete fokozat";"전상장 흑장";"Нагрудны знак «За раненне»";"Insigna neagră a răniților";"黑色傷兵胸章";"  ";;
"ge_wound_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_wermacht_service_special_class/name";"Wehrmacht Long Service Award";"Médaille de service de Longue durée";"Premio per il Lungo Servizio nella Wehrmacht";"Dienstauszeichnung der Wehrmacht";"Condecoración al Largo Servicio de la Wehrmacht";"Медаль За выслугу лет в вермахте 1 класса";"Nagroda za długą służbę Wehrmachtu";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"国\t防\t军\t长\t期\t服\t役\t嘉\t奖";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Медаль За вислугу років в вермахті 1 класу";"Wehrmacht Long Service Award";"Wehrmacht hosszú szolgálati érem";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Distincția Serviciu îndelungat în Wehrmacht";"國防軍長期服役嘉獎";"  ";;
"ger_wermacht_service_special_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_wermacht_service_3_class/name";"Wehrmacht Long Service Award 3rd class";"Médaille de service de Longue durée 3e Classe";"Premio per il Lungo Servizio nella Wehrmacht III Classe";"Dienstauszeichnung der Wehrmacht 3. Klasse";"Condecoración al Largo Servicio de la Wehrmacht 3ª clase";"Медаль За выслугу лет в вермахте 3 класса";"Nagroda za długą służbę Wehrmachtu 3. klasy";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"三\t级\t国\t防\t军\t长\t期\t服\t役\t嘉\t奖";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Медаль За вислугу років в вермахті 3 класу";"Wehrmacht Long Service Award 3rd class";"Wehrmacht hosszú szolgálati érem 3. osztály";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Distincția Serviciu îndelungat în Wehrmacht clasa 3";"三級國防軍長期服役嘉獎";"  ";;
"ger_wermacht_service_3_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_wermacht_service_2_class/name";"Wehrmacht Long Service Award 2nd class";"Médaille de service de Longue durée 2e Classe";"Premio per il Lungo Servizio nella Wehrmacht II Classe";"Dienstauszeichnung der Wehrmacht 2. Klasse";"Condecoración al Largo Servicio de la Wehrmacht 2ª clase";"Медаль За выслугу лет в вермахте 2 класса";"Nagroda za długą służbę Wehrmachtu 2. klasy";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"二\t级\t国\t防\t军\t长\t期\t服\t役\t嘉\t奖";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Медаль За вислугу років в вермахті 2 класу";"Wehrmacht Long Service Award 2nd class";"Wehrmacht hosszú szolgálati érem 2. osztály";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Distincția Serviciu îndelungat în Wehrmacht clasa 2";"二級國防軍長期服役嘉獎";"  ";;
"ger_wermacht_service_2_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_sboote_badge/name";"Fast Attack Craft War Badge";"Insigne de guerre des Bateaux d'attaque rapide";"Distintivo per la Guerra su imbarcazioni veloci";"Schnellbootkriegsabzeichen";"Insignia de Guerra de Lancha de Ataque Rápido";"Нагрудный знак экипажей торпедных катеров";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"快\t艇\t战\t争\t胸\t章";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Нагрудний знак екіпажів торпедних катерів";"Fast Attack Craft War Badge";"Gyorsnaszád jelvény";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Insignă ambarcațiune rapidă de atac";"快艇戰爭胸章";"  ";;
"ger_sboote_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ge_roll_honor/name";"Honour Roll Clasp of the Luftwaffe";"Ruban fermoir d'Honneur de la Luftwaffe";"Ehrenblattspange der Luftwaffe";"Ehrenblattspange der Luftwaffe";"Broche de lista de honor de la Luftwaffe";"Почетная пряжка на ленте люфтваффе";"Honorowa Odznaka Luftwaffe";"Čestná spona Luftwaffe";"Luftwaffe Onur Nişanı";"空\t军\t荣\t誉\t勋\t饰";"ルフトヴァッフェ\t名鑑章";"Broche de Honra da Lufwaffe";"Honour Roll Clasp of the Luftwaffe";"Почесна пряжка на стрічці для Люфтваффе ";"Luftwaffe Kopča Časti";"Luftwaffe Becsületrend";"독일 공군 명예약장(Ehrenblattspange der Luftwaffe)";"Ганаровая спражка Люфтвафэ";"Panglica de onoare Luftwaffe";"空軍榮譽勳章";"  ";;
"ge_roll_honor/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_roll_of_honor_kriegsmarine/name";"Honour Roll Clasp of the Kriegsmarine";"Ruban fermoir d'Honneur de la Kriegsmarine";"Distintivo D'onore della Kriegsmarine";"Ehrenblattspange der Kriegsmarine";"Broche de la Lista de Honor de la Kriegsmarine";"Почётная пристёжка кригсмарине";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"海\t军\t荣\t誉\t勋\t饰";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Почесна застібка Крігсмаріне";"Honour Roll Clasp of the Kriegsmarine";"Kriegsmarine Becsületrend";"독일해군 명예약장";"Honour Roll Clasp of the Kriegsmarine";"Clema de onoare a Kriegsmarine";"海軍榮譽勳章";"  ";;
"ger_roll_of_honor_kriegsmarine/desc";;;;;;;;;;;;;;;;;;;;;;;
